Fecha,Objetos,Rep
2022-01-05,HD38120,1
2022-03-02,HD112147,1
2022-03-02,HD93683,1
2022-03-05,HD112147,1
2022-03-05,HD93683,1
2022-03-06,HD101545,1
2022-03-06,HD309001,1
2022-03-06,HD93683,1
2022-03-12,HD112147,2
2022-03-12,HD93683,1
2022-03-19,HD112147,1
2022-03-20,HD112147,5
2022-03-21,HD112147,2
2022-03-21,HD93683,1
2022-03-23,HD112147,2
2022-03-26,HD112147,3
2022-03-27,HD93683,1
2022-03-27,HD112147,1
2022-03-28,HD93683,1
2022-04-13,HD93683,1
2022-04-13,HD157347,2
2022-04-20,HD93683,1
2022-04-20,HD72673,2
2022-04-22,HD72673,1
2022-04-23,HD72673,1
2022-04-24,HD72673,1
2022-04-29,HD72673,1
2022-04-30,HD72673,2
2022-05-01,HD72673,1
2022-05-04,HD72673,2
2022-05-06,HD72673,2
2022-05-11,HD72673,2
2022-05-13,HD72673,1
2022-05-14,HD72673,1
2022-09-07,HD222925,1
2022-09-14,HIP100998,1
2022-09-14,HIP96754,1
2022-09-14,TIC155989956,1
2022-09-14,TIC64034062,1
2022-09-14,TIC28051929,1
2022-10-12,TIC155989956,1
2022-11-04,HD222925,1
2022-12-03,TIC64034062,1
2022-12-03,TIC219345200,2
2022-12-03,TIC168656470,1
2022-12-03,TIC4646803,1
2022-12-03,TIC328321923,1
2022-12-07,TIC168656470,2
2022-12-07,TIC219345200,2
2022-12-07,TIC64034062,1
2023-03-17,HD72673,5
2023-03-24,HD72673,3
2023-03-31,HIP84634,1
2023-03-31,HIP51360,1
2023-03-31,HIP53206,1
2023-03-31,HIP72492,1
2023-03-31,HIP61959,1
2023-03-31,HIP59281,1
2023-03-31,HIP90198,1
2023-03-31,HIP91880,1
2023-04-01,HD72673,3
2023-04-01,HIP97690,1
2023-04-01,HIP54718,1
2023-04-01,HIP45726,1
2023-04-01,HIP69160,1
2023-04-01,HIP42916,1
2023-04-01,HIP96754,1
2023-04-01,HIP86142,1
2023-04-01,HIP68380,1
2023-04-12,HIP68380,1
2023-04-12,HD102009,1
2023-04-12,HD101964,1
2023-04-12,HD309003,1
2023-04-12,HD101993,1
2023-04-12,HD309001,1
2023-04-12,HD101994,1
2023-04-22,HD157347,1
2023-04-22,HD129116,1
2023-04-22,HD157347,2
2023-04-22,HD129116,3
2023-04-23,HD157347,2
2023-04-23,HD93683,1
2023-04-25,HIP106978,1
2023-04-25,HIP42916,1
2023-04-25,HIP97690,1
2023-04-25,HIP90198,1
2023-04-25,HIP31547,1
2023-04-25,HIP48273,1
2023-04-25,HIP59281,1
2023-04-25,HIP91880,1
2023-04-25,HIP34802,1
2023-04-25,HIP100998,1
2023-04-25,HIP38146,1
2023-04-25,HIP50288,1
2023-04-25,HIP96754,1
2023-04-25,HIP40523,1
2023-04-25,HIP45726,1
2023-04-25,HIP69160,1
2023-04-25,HIP70693,1
2023-04-25,HIP36557,1
2023-04-25,HIP46388,1
2023-04-25,HIP57594,1
2023-04-25,HIP72492,1
2023-04-25,HIP54718,1
2023-04-25,HIP91880,1
2023-04-28,HD112147,2
2023-04-28,HD93683,1
2023-04-28,HD129116,3
2023-04-28,HD157347,5
2023-04-29,HD112147,2
2023-04-29,HD129116,3
2023-04-29,HD157347,2
2023-04-29,HD93683,1
2023-05-03,HD93683,1
2023-05-24,HIP48320,1
2023-05-24,HIP72492,1
2023-05-24,HIP106978,1
2023-05-24,HIP96754,1
2023-05-24,HIP69160,1
2023-05-24,HIP54718,1
2023-05-24,HIP40523,1
2023-05-24,HIP45726,1
2023-05-24,HIP41800,1
2023-05-24,HIP100998,1
2023-05-24,HIP91880,1
2023-05-24,HIP46388,1
2023-05-24,HIP57894,1
2023-05-24,HIP72217,1
2023-05-24,HIP109908,1
2023-05-24,HIP38146,1
2023-05-24,HIP59281,1
2023-05-24,HIP97690,1
2023-05-24,HIP111898,1
2023-05-24,HIP50288,1
2023-05-24,HIP111974,1
2023-05-24,HIP90198,1
2023-05-24,HIP68380,1
2023-05-24,HIP86142,1
2023-05-24,HIP42916,1
2023-05-24,HIP53206,1
2023-05-27,HD129116,1
2023-05-27,HD308889,1
2023-05-28,HD308889,1
2023-05-28,HD129116,1
2023-05-28,HD308888,1
2023-06-03,HD308889,1
2023-06-03,HD308887,1
2023-06-03,HD157347,2
2023-06-03,HD308888,1
2023-06-09,HD308887,1
2023-06-09,HD308889,1
2023-06-09,HD308888,1
2023-06-16,HIP54718,1
2023-06-16,HIP100998,1
2023-06-16,HIP72217,1
2023-06-16,HIP59281,1
2023-06-16,HIP86142,1
2023-06-16,HIP90198,1
2023-06-16,HIP109908,1
2023-06-16,HIP42916,1
2023-06-16,HIP91880,1
2023-06-16,HIP46388,1
2023-06-16,HIP97690,1
2023-06-16,HIP12225,1
2023-06-16,HIP9497,1
2023-06-16,HIP70693,1
2023-06-16,HIP111974,1
2023-06-16,HIP10096,1
2023-06-16,HIP1144,1
2023-06-16,HIP50288,1
2023-06-16,HIP68380,1
2023-06-16,HIP111898,1
2023-06-16,HIP57894,1
2023-07-14,HIP101955,1
2023-07-14,HIP100998,1
2023-07-14,HIP70693,1
2023-07-14,HIP97690,1
2023-07-14,HIP14124,1
2023-07-14,HIP72492,1
2023-07-14,HIP10096,1
2023-07-14,HIP54718,1
2023-07-14,HIP46388,1
2023-07-14,HIP90198,1
2023-07-14,HIP69160,1
2023-07-14,HIP7580,1
2023-07-14,HIP1144,1
2023-07-14,HIP91880,1
2023-07-14,HIP50288,1
2023-07-14,HIP96754,1
2023-07-14,HIP68380,1
2023-07-14,HIP23776,1
2023-07-14,HIP111974,1
2023-07-14,HIP103987,1
2023-07-14,HIP12225,1
2023-07-14,HIP7604,1
2023-07-14,HIP59281,1
2023-07-15,HD10700,3
2023-07-28,HIP57421,1
2023-07-28,HIP61158,1
2023-07-28,HIP97690,1
2023-07-28,HIP103987,1
2023-07-28,HIP58669,1
2023-07-28,HIP56319,1
2023-07-28,HIP9774,1
2023-07-28,HIP6273,1
2023-07-28,HIP110960,2
2023-07-28,HIP12225,1
2023-07-28,HIP11072,1
2023-07-28,HIP97365,1
2023-07-28,HIP1306,1
2023-07-28,HIP110960,1
2023-07-28,HIP78505,1
2023-07-28,HIP101955,1
2023-07-28,HIP4849,1
2023-07-28,HIP13769,1
2023-07-28,HIP72622,1
2023-07-28,HIP78662,1
2023-07-28,HIP76031,1
2023-07-29,HIP86032,1
2023-07-29,HIP105382,1
2023-07-29,HIP86032,1
2023-07-29,HIP81874,1
2023-07-29,HIP111898,1
2023-07-29,HIP78401,1
2023-07-29,HIP101966,1
2023-07-29,HIP10362,1
2023-07-29,HIP62985,1
2023-07-29,HIP97365,1
2023-07-29,HIP81874,1
2023-07-29,HIP84970,1
2023-07-29,HIP10305,1
2023-07-29,HIP101181,1
2023-07-29,HIP23776,1
2023-07-29,HIP10305,1
2023-07-29,HIP86032,1
2023-07-29,HIP16083,1
2023-07-29,HIP57283,1
2023-07-29,HIP16083,1
2023-07-29,HIP82216,1
2023-07-29,HIP84430,1
2023-07-29,HIP16083,1
2023-07-29,HIP62985,1
2023-07-29,HIP76424,1
2023-07-29,HIP114626,1
2023-07-29,HIP78401,1
2023-07-29,HIP105382,1
2023-07-29,HIP97365,1
2023-07-29,HIP78401,1
2023-07-29,HIP97365,1
2023-07-29,HIP73129,1
2023-07-29,HIP84970,1
2023-07-29,HIP57283,1
2023-07-29,HIP7869,1
2023-07-29,HIP84198,1
2023-08-11,HIP103987,1
2023-08-11,HIP13769,1
2023-08-11,HIP76400,1
2023-08-11,HIP2066,1
2023-08-11,HIP101955,1
2023-08-11,HIP76031,1
2023-08-11,HIP63162,1
2023-08-11,HIP9774,1
2023-08-11,HIP101955,1
2023-08-11,HIP104476,1
2023-08-25,HIP70693,1
2023-08-26,HD10700,3
